Uuid,Void/Retire,Same as mappings,Fully specified name:en,Fully specified name:fr,Fully specified name:es,Short name:en,Short name:fr,Short name:es,Description:en,Description:fr,Description:es,Data class,Data type,Answers,Units
ec73e2d6-7e69-47fb-b0af-a5f9c756c12c,,,CASH CONSULTATION,,,CASH CONSULTATION,,,CASH CONSULTATION used by Odoo for billing,,,Cash Service Order,"N/A ",,
1764494b-1f0b-491a-8f55-9970be56ce70,,,SHA CONSULTATION,,,SHA CONSULTATION,,,SHA CONSULTATION used for Odoo billing,,,SHA Service Order,N/A,,
60be4af0-1aa0-4508-8e15-2eb7bf91d08f,,,PAST MEDICAL HISTORY (TEXT),,,,,,,,,"Question ",Text,,
0e316db3-2a2c-4762-b011-928c5ce438f5,,,SOCIAL HISTORY (TEXT),,,,,,,,,"Question ",Text,,
f4965bac-a6f8-4aaa-90cd-986c8e4cc354,,MCL/CIEL:166080,INTENSITY OF MENSTRUAL FLOW,,,QUANTITY OF MENSTRUAL FLOW,,,This is a question in the encounter form to collect the intensity of menstrual flow.,,,"Question ",Coded,85799d1b-e638-49bd-9e00-2e7c0dfd93a3;9b4bc3b1-12a9-4209-9751-e56812fd410b;a899e7b4-1350-11df-a1f1-0026b9348838,
85799d1b-e638-49bd-9e00-2e7c0dfd93a3,,MCL/CIEL:140947,EXCESSIVE AND FREQUENT MENSTRUATION,,,,,,The intensity of menstruation is heavy and frequent.,,,Finding,N/A,,
9b4bc3b1-12a9-4209-9751-e56812fd410b,,MCL/CIEL:135795,LIGHT AND INFREQUENT MENSTRUATION,,,,,,Question in enounter form to record light menstrual flow.,,,Finding,N/A,,
0ff8cfd5-e0ae-495e-8d07-75b7d290172b,,,HISTORY OF VAGINAL BLEEDING,,,,,,Question to record history of vaginal bleeding.,,,"Question ",Coded,a899b35c-1350-11df-a1f1-0026b9348838;a899b42e-1350-11df-a1f1-0026b9348838,
fa95702f-43d4-4aec-a7f6-9f7e23dace8d,,MCL/CIEL:146599	,CACHEXIA,,,,,,"General ill health, malnutrition, and weight loss, usually associated with chronic disease",,,Old Diagnosis,N/A,,
551599b9-2632-4a61-b105-05cd1d3a562e,,MCL/CIEL:130428,PERIPHERAL EDEMA,,,,,,"Excessive amount of watery fluid accumulated in the intercellular spaces, most commonly present in subcutaneous tissue.",,,Old Diagnosis,N/A,,
b3b64f41-ac97-46dc-b560-07ae22a913e1,,,JUGULAR VENOUS DISTENSION,,,JVD,,,"Refers to the visible bulging of the jugular veins in the neck, most often due to increased central venous pressure (CVP)",,,Old Diagnosis,N/A,,
f99eedd1-b709-4cd6-8e22-462a59fdf399,,,EMERGENCY SHA CONSULTATION,,,EMERGENCY SHA CONSULTATION,,,EMERGENCY SHA CONSULTATION,,,,N/A,,
