Uuid,Void/Retire,Same as mappings,Fully specified name:en,Fully specified name:fr,Fully specified name:es,Short name:en,Short name:fr,Short name:es,Description:en,Description:fr,Description:es,Data class,Data type,Answers,Units
8a2b4397-fec8-4045-b7ec-925997f20ab2,,MCL/CIEL:164148,OCCIPUT ANTERIOR POSITION,,,OCCIPITALANTERIOR,,,"Occiput Anterior indicates that the baby is coming down the birth canal, head down, with the posterior of the head coming under the pelvic bone and the baby’s face facing the mother’s sacrum.",,,Finding ,N/A,,
f012dc73-7ecd-4ef5-bfc8-5d8f6b672c8e,,,OCCIPUT POSTERIOR POSITION,,,,,,Fetal position during labor where the back of the baby’s head (occiput) is toward the mother’s back (posterior).,,,Finding,N/A,,
071b66c8-eece-494b-8872-00e2710d1928,,,BABY ENGAGEMENT,,,,,,Engagement of the baby,,,Question,Numeric,,
150a1056-288e-473a-92e3-b5308bd618f5,,MCL/CIEL:159263,VAGINAL SHOW,,,,,,Is the passage of a small amount of blood-tinged mucus from the cervix through the vagina.,,,Diagnosis ,N/A,,
594336cb-e25b-4bbc-a233-55f884eda4d8,,MCL/CIEL:165372,PELVIC EXAMINATION FINDINGS,,,,,,Refers to any observable or palpable result obtained during a pelvic examination.,,,Finding ,Coded,a899e7b4-1350-11df-a1f1-0026b9348838;a899e890-1350-11df-a1f1-0026b9348838,
297d7ffa-3480-4b9f-9842-d8aa10785f95,,,"BABY ENGAGEMENT, TEXT",,,,,,"Engagement of the baby, in free text",,,Finding ,Text,,
4faac479-f532-424e-b4db-44a5e4639f87,,MCL/CIEL: 160968,UTERINE CERVIX EXAMINATION (TEXT),,,O/E CERVIX,,,Question to record cervix examination in text,,,Finding ,Text,,
12f21a18-a081-4f45-bb81-53a5017c8b2f,,MCL/CIEL:164900,STATUS OF FETAL MEMBRANES,,,,,,Question to record status of the fetal membrane,,,Question ,Coded,380b0af9-981c-4186-895d-020a209bcff2;59057fbe-375f-4b4c-ad6f-1dc02625a094,
59057fbe-375f-4b4c-ad6f-1dc02625a094,,MCL/CIEL:164899,INTACT FETAL MEMBRANES,,,,,,,,,Finding,N/A,,
45f87cb9-3c41-47b0-b219-8abaaa913a91,,,"LABOR DURATION IN MINUTES, ACTIVE STAGE",,,,,,Question to answer the length of time in minutes that labor took in the active stage.,,,Question ,Numeric,,
89b44f2a-81a3-4eb5-9649-06bb7ccbcbcd,,,"LABOR DURATION IN HOURS, SECOND STAGE",,,,,,Question to answer the length of time in hours that labor took in the second stage.,,,Question ,Numeric,,
