Concept,Member,Member type,Sort Weight
9924eedc-88af-4252-8156-53317ff9c96e,a8908a16-1350-11df-a1f1-0026b9348838,concept-set,1
9924eedc-88af-4252-8156-53317ff9c96e,a8945754-1350-11df-a1f1-0026b9348838,concept-set,2
9924eedc-88af-4252-8156-53317ff9c96e,1a2012cc-30f2-4cbd-b8d6-3191e4b60ea8,concept-set,3
9924eedc-88af-4252-8156-53317ff9c96e,2124717e-3b0d-44ee-bf8a-d97ef103d5c8,concept-set,4
9924eedc-88af-4252-8156-53317ff9c96e,6b627304-97a1-4eb9-8c0d-3bc84d05be84,concept-set,5
9924eedc-88af-4252-8156-53317ff9c96e,9aa18e19-ea39-4327-967b-1bf4c64698b4,concept-set,6
9924eedc-88af-4252-8156-53317ff9c96e,a890a7e4-1350-11df-a1f1-0026b9348838,concept-set,7
9924eedc-88af-4252-8156-53317ff9c96e,b72fa772-19a9-4386-8185-6491ab97e97e,concept-set,8
9924eedc-88af-4252-8156-53317ff9c96e,a8b0f3e6-1350-11df-a1f1-0026b9348838,concept-set,9
9924eedc-88af-4252-8156-53317ff9c96e,6ab44394-80a5-40cd-9649-32f1839e94cd,concept-set,10
9924eedc-88af-4252-8156-53317ff9c96e,a8a47ca6-1350-11df-a1f1-0026b9348838,concept-set,11
9924eedc-88af-4252-8156-53317ff9c96e,a8a0a9dc-1350-11df-a1f1-0026b9348838,concept-set,12
9924eedc-88af-4252-8156-53317ff9c96e,a8a0a91e-1350-11df-a1f1-0026b9348838,concept-set,13
9924eedc-88af-4252-8156-53317ff9c96e,851a1e64-6278-4376-aa3e-cde22c2ad258,concept-set,14
9924eedc-88af-4252-8156-53317ff9c96e,2a8b7544-c844-4fff-a8ed-05a6ea0e7fda,concept-set,15
9924eedc-88af-4252-8156-53317ff9c96e,a898418e-1350-11df-a1f1-0026b9348838,concept-set,16
9924eedc-88af-4252-8156-53317ff9c96e,a89c7a4c-1350-11df-a1f1-0026b9348838,concept-set,17
9924eedc-88af-4252-8156-53317ff9c96e,a8945678-1350-11df-a1f1-0026b9348838,concept-set,18
