Concept,Member,Member type,Sort Weight
049ba22b-902e-442c-8615-94921700f0bc,a8aad9c6-9b54-49f7-9cd1-0d165cd12af4,concept-set,1
049ba22b-902e-442c-8615-94921700f0bc,61391823-27aa-4d7a-aac3-ef2b808135a9,concept-set,2
049ba22b-902e-442c-8615-94921700f0bc,a8d2a6cb-1652-4d8e-a830-226ded345345,concept-set,3
049ba22b-902e-442c-8615-94921700f0bc,3fa5c3a8-41e5-493a-9ab7-7177fc6f8c82,concept-set,4
049ba22b-902e-442c-8615-94921700f0bc,7ef97361-e7e2-4079-92a3-584b5a5cd0f5,concept-set,5
049ba22b-902e-442c-8615-94921700f0bc,fafacc32-0d0b-4af7-bb90-e5d76d979cd4,concept-set,6
049ba22b-902e-442c-8615-94921700f0bc,661f066f-7df3-4e23-9477-9a72f0553110,concept-set,7
049ba22b-902e-442c-8615-94921700f0bc,7528b136-e218-4102-8559-4b50f92602ba,concept-set,8
049ba22b-902e-442c-8615-94921700f0bc,c54d870a-e884-42b2-b628-0f66210d5809,concept-set,9
049ba22b-902e-442c-8615-94921700f0bc,6f87be71-e6d5-4cd2-8912-6c16d5623f47,concept-set,10
