Concept,Member,Member type,Sort Weight
885499fa-ba0f-43bf-9fdb-6f1a07f5b8bc,a8a0a9dc-1350-11df-a1f1-0026b9348838,concept-set,1
885499fa-ba0f-43bf-9fdb-6f1a07f5b8bc,a8a47ca6-1350-11df-a1f1-0026b9348838,concept-set,2
885499fa-ba0f-43bf-9fdb-6f1a07f5b8bc,a8a47d5a-1350-11df-a1f1-0026b9348838,concept-set,3
885499fa-ba0f-43bf-9fdb-6f1a07f5b8bc,6ab44394-80a5-40cd-9649-32f1839e94cd,concept-set,4
885499fa-ba0f-43bf-9fdb-6f1a07f5b8bc,a8b0f3e6-1350-11df-a1f1-0026b9348838,concept-set,5
885499fa-ba0f-43bf-9fdb-6f1a07f5b8bc,b72fa772-19a9-4386-8185-6491ab97e97e,concept-set,6
885499fa-ba0f-43bf-9fdb-6f1a07f5b8bc,851a1e64-6278-4376-aa3e-cde22c2ad258,concept-set,7
885499fa-ba0f-43bf-9fdb-6f1a07f5b8bc,2a8b7544-c844-4fff-a8ed-05a6ea0e7fda,concept-set,8
885499fa-ba0f-43bf-9fdb-6f1a07f5b8bc,9aa18e19-ea39-4327-967b-1bf4c64698b4,concept-set,9
885499fa-ba0f-43bf-9fdb-6f1a07f5b8bc,2124717e-3b0d-44ee-bf8a-d97ef103d5c8,concept-set,10
